EXTraS_Ape_v0.OBS_ID,EXTraS_Ape_v0.XMM_RA,EXTraS_Ape_v0.XMM_DEC,EXTraS_Ape_v0.XMM_EP_8_FLUX,EXTraS_Ape_v0.XMM_EP_8_FLUX_ERR,main_id,ra,dec,otype,main_type,other_types,plx,plx_err,B,V,R,J,H,K,u,g,r,i,z,distance_pc,distance_ly,distance_cm,XLuminosity,VisibleLuminosity
690744001,85.2203,-68.3899,6.877680103358581e-15,4.123029856032768e-15,HD 269995,85.2218741469,-68.3893087697,*,Star,NIR|*,4.5256,0.0109,11.92,11.12,,9.937,9.611,9.517,,,,,,220.96517588828,720.6911790701785,6.818272891992222e+20,4.017913608622827e+28,5.28097771432564e+33
690744001,84.7814,-68.3189,6.1365601558289576e-15,2.957699926650431e-15,2MASS J05390812-6819067,84.7838391094,-68.3185597314,*,Star,NIR|*,2.3212,0.0149,13.35,12.78,12.41,11.548,11.228,11.164,,,,,,430.8116491469929,1405.118042391866,1.3293458469757022e+21,1.3627331670062447e+29,3.826224991951744e+33
690744101,85.1866,-68.8227,3.4001701600767584e-14,1.18876000419787e-14,HD 269981,85.1894769011,-68.8223169853,*,Star,NIR|*|MIR,3.7718,0.0178,11.03,10.56,,9.635,9.426,9.403,,,,,,265.1254043162416,864.7224137016809,8.180915159870619e+20,2.859659293594297e+29,1.2260561624322927e+34
690744201,85.6686,-68.8478,2.9967600124504445e-13,2.2200099966890663e-14,2XMM J054240.4-685053,85.6684566872,-68.8478509928,AGN,AGN,X|AGN|*|Q?,0.1122,0.2526,20.99,19.907,,,,,,,,,,8912.655971479502,29069.162210338684,2.750158270944742e+22,2.8482440920918465e+33,4.140005083698449e+32
690744201,85.8468,-68.9444,8.425080294874322e-14,1.0065999784733808e-14,TYC 9163-991-1,85.8468606384,-68.9446610154,*,Star,*,1.3296,0.0109,12.75,12.13,,,,,,,,,,752.1058965102287,2453.038507821901,2.320756302647413e+21,5.702207142493971e+30,4.803571425744266e+33
690744301,84.6431,-68.8851,1.4077099945788984e-12,1.93426004380104e-14,HD 269921,84.6438081728,-68.8851836057,Er*,Eruptive*,V*|X|Er*|Ro*|NIR|*|MIR,10.7951,0.042,10.96,10.261,,8.869,8.421,8.39,,,,,,92.63462126335097,302.133375327695,2.858405739641133e+20,1.4453426177590976e+30,2.2261560522379404e+33
690744301,84.6764,-68.8777,6.997989698571266e-14,7.27940030167051e-15,OGLE BRIGHT-LMC-ECL-59,84.6771390431,-68.8775816878,EB*,EclBin,NIR|*|EB*,1.168,0.0104,13.91,12.743,12.17,10.933,10.37,10.228,,13.34,12.51,12.17,,856.164383561644,2792.431506849315,2.6418472431506854e+21,6.137599804706003e+30,1.9576039826564483e+34
690744301,84.5885,-68.8426,2.700660028454645e-14,5.8097900913713e-15,HD 269916,84.5885694906,-68.8428465801,*,Star,X|NIR|*,4.0701,0.0115,12.074,11.376,11.283,10.131,9.778,9.728,,11.668,11.185,11.013,,245.69420898749416,801.3464042652514,7.581331122085453e+20,1.950611189788661e+29,3.539735884871302e+33
690744301,84.5185,-68.7619,9.772679898396173e-15,1.83053010209132e-15,HD 269903,84.5185298488,-68.7619990649,*,Star,NIR|*|MIR,1.7761,0.0124,10.98,10.36,,9.316,9.067,8.977,,,,,,563.0313608467992,1836.3605652834865,1.737333247001858e+21,3.706720153450368e+29,6.736497631477451e+34
690744401,84.6741,-69.087,2.2690199328809242e-13,8.92858022623821e-15,RMC 140b,84.6734175481,-69.0875534396,WR*,WolfRayet*,X|IR|*|WR*,0.0065,0.0279,12.61,12.66,,12.33,12.16,11.95,,,,,,153846.15384615384,501778.4615384615,4.7471962769230765e+23,6.425731164234327e+35,5.8826298995270286e+38
